plot;subplot;year;precip;na;sum_salinity;type
1;A1;2015;392.1;3063.5;0.815;observed
1;A2;2015;392.1;2907.5;0.724;observed
1;A3;2015;392.1;2766.5;0.734;observed
1;A4;2015;392.1;2630.5;0.81;observed
1;A5;2015;392.1;2735.5;0.616;observed
1;A6;2015;392.1;2408.5;0.572;observed
1;B1;2015;392.1;2768.5;0.722;observed
1;B2;2015;392.1;2980;0.701;observed
1;B3;2015;392.1;2523.5;0.849;observed
1;B4;2015;392.1;2280;0.797;observed
1;B5;2015;392.1;2308;0.779;observed
1;B6;2015;392.1;2234;0.695;observed
1;C1;2015;392.1;2180.5;0.801;observed
1;C2;2015;392.1;1992;0.828;observed
1;C3;2015;392.1;2216.5;0.898;observed
1;C4;2015;392.1;1924;0.817;observed
1;C5;2015;392.1;2276.5;0.64;observed
1;C6;2015;392.1;2338;0.839;observed
1;D1;2015;392.1;2321;0.701;observed
1;D2;2015;392.1;2133;0.755;observed
1;D3;2015;392.1;2281.5;0.783;observed
1;D4;2015;392.1;2239.5;0.642;observed
1;D5;2015;392.1;2332;0.614;observed
1;D6;2015;392.1;2420.5;0.69;observed
1;E1;2015;392.1;2238.5;0.631;observed
1;E2;2015;392.1;2896.9;0.6;observed
1;E3;2015;392.1;2748.4;0.594;observed
1;E4;2015;392.1;2555;0.631;observed
1;E5;2015;392.1;2473.5;0.59;observed
1;E6;2015;392.1;2353;0.633;observed
1;F1;2015;392.1;2299;0.561;observed
1;F2;2015;392.1;2198.5;0.519;observed
1;F3;2015;392.1;2263;0.55;observed
1;F4;2015;392.1;2411.5;0.451;observed
1;F5;2015;392.1;1804.5;0.509;observed
1;F6;2015;392.1;2061.5;0.628;observed
2;A1;2015;392.1;2462.9;0.684;observed
2;A2;2015;392.1;2683;0.628;observed
2;A3;2015;392.1;2495;0.567;observed
2;A4;2015;392.1;1831;0.411;observed
2;A5;2015;392.1;1644;0.391;observed
2;A6;2015;392.1;1378.1;0.475;observed
2;B1;2015;392.1;2187.5;0.656;observed
2;B2;2015;392.1;2652;0.536;observed
2;B3;2015;392.1;2451.5;0.6;observed
2;B4;2015;392.1;1884.5;0.389;observed
2;B5;2015;392.1;2114.5;0.427;observed
2;B6;2015;392.1;2237;0.624;observed
2;C1;2015;392.1;2894;0.559;observed
2;C2;2015;392.1;2754;0.732;observed
2;C3;2015;392.1;2813;0.653;observed
2;C4;2015;392.1;1740;0.463;observed
2;C5;2015;392.1;1753.5;0.379;observed
2;C6;2015;392.1;2150;0.524;observed
2;D1;2015;392.1;1571.5;0.411;observed
2;D2;2015;392.1;1884.5;0.485;observed
2;D3;2015;392.1;1875.5;0.593;observed
2;D4;2015;392.1;1761.5;0.393;observed
2;D5;2015;392.1;1477;0.435;observed
2;D6;2015;392.1;1892;0.613;observed
2;E1;2015;392.1;1508.5;0.468;observed
2;E2;2015;392.1;1190;0.399;observed
2;E3;2015;392.1;1066;0.347;observed
2;E4;2015;392.1;842;0.256;observed
2;E5;2015;392.1;1238.5;0.331;observed
2;E6;2015;392.1;1797.5;0.554;observed
2;F1;2015;392.1;1281;0.3182;observed
2;F2;2015;392.1;1504.5;0.347;observed
2;F3;2015;392.1;1624;0.478;observed
2;F4;2015;392.1;1223;0.358;observed
2;F5;2015;392.1;1012.7;0.29;observed
2;F6;2015;392.1;933.5;0.344;observed
3;A1;2015;392.1;3562;0.912;observed
3;A2;2015;392.1;3338;0.867;observed
3;A3;2015;392.1;3366;0.607;observed
3;A4;2015;392.1;3273;0.618;observed
3;A5;2015;392.1;3177;0.634;observed
3;A6;2015;392.1;3109;0.732;observed
3;B1;2015;392.1;2844;0.647;observed
3;B2;2015;392.1;2822;0.763;observed
3;B3;2015;392.1;3074;0.697;observed
3;B4;2015;392.1;3156;0.563;observed
3;B5;2015;392.1;3076;0.581;observed
3;B6;2015;392.1;3033;0.67;observed
3;C1;2015;392.1;3037;0.439;observed
3;C2;2015;392.1;3532;0.489;observed
3;C3;2015;392.1;2716;1.393;observed
3;C4;2015;392.1;3249;0.541;observed
3;C5;2015;392.1;3493;0.569;observed
3;C6;2015;392.1;2757;0.62;observed
3;D1;2015;392.1;3231;0.488;observed
3;D2;2015;392.1;2847;0.557;observed
3;D3;2015;392.1;2678;0.582;observed
3;D4;2015;392.1;3197;0.596;observed
3;D5;2015;392.1;3027;0.684;observed
3;D6;2015;392.1;2890;0.68;observed
3;E1;2015;392.1;2411;0.675;observed
3;E2;2015;392.1;2134;0.5494;observed
3;E3;2015;392.1;2163;0.719;observed
3;E4;2015;392.1;2431;0.882;observed
3;E5;2015;392.1;2554;0.731;observed
3;E6;2015;392.1;2377;0.712;observed
3;F1;2015;392.1;2451;0.749;observed
3;F2;2015;392.1;2201;0.655;observed
3;F3;2015;392.1;2036;0.612;observed
3;F4;2015;392.1;1867;0.793;observed
3;F5;2015;392.1;1892;0.74;observed
3;F6;2015;392.1;2303;0.684;observed
4;A1;2015;392.1;2935.5;1.12;observed
4;A2;2015;392.1;2699.5;1.211;observed
4;A3;2015;392.1;3061.5;1.404;observed
4;A4;2015;392.1;2613.5;1.336;observed
4;A5;2015;392.1;2869.5;1.394;observed
4;A6;2015;392.1;2991;1.396;observed
4;B1;2015;392.1;2328;1.268;observed
4;B2;2015;392.1;2713;1.212;observed
4;B3;2015;392.1;2536;2.253;observed
4;B4;2015;392.1;2648.5;1.343;observed
4;B5;2015;392.1;2527.5;1.305;observed
4;B6;2015;392.1;2367;1.407;observed
4;C1;2015;392.1;2796;1.242;observed
4;C2;2015;392.1;2295.5;1.064;observed
4;C3;2015;392.1;2384.5;1.131;observed
4;C4;2015;392.1;2309.5;1.262;observed
4;C5;2015;392.1;2343.5;1.148;observed
4;C6;2015;392.1;2580.5;1.464;observed
4;D1;2015;392.1;2543.5;1.307;observed
4;D2;2015;392.1;2329.5;1.14;observed
4;D3;2015;392.1;2060.5;1.221;observed
4;D4;2015;392.1;2259.5;1.079;observed
4;D5;2015;392.1;2067;1.09;observed
4;D6;2015;392.1;2126.5;1.43;observed
4;E1;2015;392.1;2165;1.172;observed
4;E2;2015;392.1;2240;1.281;observed
