focal.sp;model;optim.method;lambda;lambda.lower.error;lambda.upper.error;sigma;log.likelihood
SOAS;1;optim_NM;115.02757486339993;101.04287449488506;129.0122752319148;0.5805344848243572;76.14310049116699
SOAS;2;optim_NM;131.6679979288741;90.21373046938538;173.1222653883628;0.5780112149859504;75.75632394530409
SOAS;3;optim_NM;137.37637969488955;123.83853816518445;150.91422122459466;0.579571503113707;71.46292787235504
SOAS;4;optim_NM;139.98228029728605;131.8473865835226;148.1171740110495;0.5661909247707563;68.24439744870122
SOAS;5;optim_NM;140.36804458467927;137.81474618682563;142.9213429825329;0.5707637129976251;71.04311333041711
BEMA;1;optim_NM;67.33067409279036;62.52411595546136;72.13723223011937;0.6573749544526781;324.83909441497843
BEMA;2;optim_NM;69.33842094821041;61.04795685575756;77.62888504066326;0.6572724188918024;326.76932926759156
BEMA;3;optim_NM;69.6034294073674;64.82047315382226;74.38638566091254;0.6672055206312367;319.86732751623
BEMA;4;optim_NM;69.92124021616648;65.76283341479733;74.07964701753563;0.6551470232112684;319.1320585715643
BEMA;5;optim_NM;69.92124021616648;67.56778198998268;72.27469844235029;0.6551470232112684;319.44468949543716
SCLA;1;optim_NM;42.65900867135346;39.59100117208373;45.727016170623195;0.40377521193949434;67.57612771562589
SCLA;2;optim_NM;46.172204588192926;41.40511211542921;50.93929706095664;0.3972058193884451;65.92157723175137
SCLA;3;optim_NM;45.7015071081408;42.40432218871089;48.99869202757071;0.391349796596668;58.520631872395896
SCLA;4;optim_NM;46.732228757048226;44.3722749653047;49.092182548791754;0.3735044013571448;57.6709192120152
SCLA;5;optim_NM;46.94798987206006;46.14303618568495;47.75294355843518;0.3726973785775495;58.251258339062325
SPRU;1;optim_NM;649.2265158836984;531.7527537266749;766.700278040722;0.6917654568174335;58.85072989685404
SPRU;2;optim_NM;620.6829278325836;367.3862539706447;873.9796016945224;0.691688793309647;58.817428574375484
SPRU;3;optim_NM;611.625711397564;568.3016225151073;654.9498002800208;0.6733729564241229;52.947038194548234
SPRU;4;optim_NM;611.862520474435;579.7862488448545;643.9387921040154;0.6727262185127998;51.95130014622678
SPRU;5;optim_NM;611.862520474435;566.2378265537191;657.4872143951509;0.6727262185127998;52.77466916492481
LEMA;1;optim_NM;67.86494109326199;64.51892349760274;71.21095868892124;0.5820497384504356;491.4834594176446
LEMA;2;optim_NM;98.72917336321649;90.77364279875442;106.68470392767856;0.5080278690304294;415.35307109380153
LEMA;3;optim_NM;97.0697218164986;92.7215356966332;101.417907936364;0.5001517368671151;395.706954021226
LEMA;4;optim_NM;96.61622382546099;93.56905719969714;99.66339045122484;0.496310576541673;393.49718529202113
LEMA;5;optim_NM;96.61622382546099;95.10794173503157;98.12450591589041;0.496310576541673;395.00114036861333
HOMA;1;optim_NM;16.529538154091284;15.926898795143943;17.132177513038627;0.5179308796633728;548.7616438869112
HOMA;2;optim_NM;19.955757020294286;17.426492067741428;22.485021972847143;0.5100806031534837;537.7170026713828
HOMA;3;optim_NM;20.100161884886216;19.135919457910372;21.06440431186206;0.505116729427521;526.9628614845853
HOMA;4;optim_NM;19.736147676240602;19.02191957388475;20.450375778596452;0.5021007712815556;525.8913655795823
HOMA;5;optim_NM;19.830864743504108;19.57824670986807;20.083482777140148;0.5022110598957144;526.5412617013043
MESU;1;optim_NM;68.57508673982842;60.002274444517866;77.14789903513898;0.9874148423130027;341.7649266030612
MESU;2;optim_NM;162.67169877167552;84.69172907126152;240.6516684720895;0.9074930945477393;321.22706733370063
MESU;3;optim_NM;162.34342890087828;150.96511532166028;173.72174248009628;0.8974036900691199;314.29567739189486
MESU;4;optim_NM;168.0806345152415;159.61878310481217;176.54248592567086;0.8950529293122983;312.2433625877679
MESU;5;optim_NM;168.0806345152415;163.51854362696912;172.6427254035139;0.8950529293122983;314.34519680663965
PLCO;1;optim_NM;36.776520288315766;34.792254372277895;38.760786204353636;0.4441709383105236;156.68194047472159
PLCO;2;optim_NM;42.482384195011576;38.34909282737666;46.615675562646494;0.43305362937532965;151.3408489876719
PLCO;3;optim_NM;42.41340166119528;40.40500178779526;44.4218015345953;0.41717243327630366;130.4926981590205
PLCO;4;optim_NM;42.55930618006427;40.92576950293516;44.19284285719338;0.40410693548751264;128.4443196789735
PLCO;5;optim_NM;42.8005516951468;41.84607119976218;43.75503219053142;0.4011428632849656;130.21431410394146
MEEL;1;optim_NM;25.787174777631584;22.290658423674287;29.28369113158888;0.6122632300999014;71.47070664749637
MEEL;2;optim_NM;30.273128193237575;17.122241593534586;43.42401479294057;0.6086104780729186;71.02222279571055
MEEL;3;optim_NM;29.619318279791333;26.598520049287526;32.64011651029514;0.5770856704120897;64.98211848060933
MEEL;4;optim_NM;28.12132916221179;25.839232809174536;30.403425515249044;0.551901020458695;62.57702888154559
MEEL;5;optim_NM;28.821712880733504;27.98056649185717;29.662859269609836;0.5526758513469328;63.68719101939976
CHMI;1;optim_NM;227.54889986620654;169.36673835899867;285.7310613734144;0.7999623310791131;43.04878626469802
CHMI;2;optim_NM;2579.781633096988;-54075386704.59059;54075391864.153854;0.6719373902232502;36.766855560109086
CHMI;3;optim_NM;2571.1024241198024;2244.895495838611;2897.3093524009937;0.6241547009225922;31.631580888521746
CHMI;4;optim_NM;2574.086984437709;2296.6032173010512;2851.5707515743666;0.6249441761980564;31.311411134301387
CHMI;5;optim_NM;2583.8796911161608;2498.938696481691;2668.8206857506307;0.6249608915074343;31.408953823877308
FRPU;1;optim_NM;52.239362531626114;28.19560306767775;76.28312199557448;0.5187586629298655;3.8125820171632325
FRPU;2;optim_NM;50.49587563472082;-2824513413.702228;2824513514.6939797;0.5186360445527334;3.8119099585046468
FRPU;3;optim_NM;53.84318861985922;36.65150200558806;71.03487523413038;0.39447107725536146;1.465925758872366
FRPU;4;optim_NM;60.666285753555385;50.10744133530174;71.22513017180903;0.24435299996706367;0.3645464403552221
FRPU;5;optim_NM;61.65141402745605;55.94010351507502;67.36272453983707;0.26575720671890174;-0.5208685168082595
POMA;1;optim_NM;77.43378685227748;74.07442619365484;80.79314751090011;0.4240667169922535;200.52992630404242
POMA;2;optim_NM;74.28294349478813;61.11421262939197;87.45167436018428;0.42356873032149206;200.4517734469857
POMA;3;optim_NM;76.43236121160409;72.50499449597369;80.35972792723449;0.42315624428440574;183.44350654873205
POMA;4;optim_NM;77.9834208324158;74.48839770448666;81.47844396034495;0.40004739540197276;178.17276012345485
POMA;5;optim_NM;77.9834208324158;76.26979748048493;79.69704418434668;0.40004739540197276;183.5883634989243
PUPA;1;optim_NM;492.1255994792709;452.8549251685961;531.3962737899457;0.8440313626928102;566.021224747494
PUPA;2;optim_NM;745.154471457217;595.7729733724127;894.5359695420213;0.8225364126843153;554.2635691478986
PUPA;3;optim_NM;749.6857872916856;716.2381540732532;783.1334205101181;0.82396498140876;553.2486014468948
PUPA;4;optim_NM;749.6857872916856;716.5340899497406;782.8374846336307;0.82396498140876;553.1907070277169
PUPA;5;optim_NM;749.6857872916856;714.8985483628084;784.4730262205629;0.82396498140876;553.1907070277169
PAIN;1;optim_NM;22.018731406252325;20.674279135926124;23.363183676578526;0.580189838038;287.76869143766453
PAIN;2;optim_NM;32.42029269921295;23.731511048431322;41.10907434999458;0.5575059958985444;275.43510596188787
PAIN;3;optim_NM;32.79574404653413;31.04670201560006;34.5447860774682;0.5252451202207812;253.7487362062704
PAIN;4;optim_NM;32.99912170403257;31.391667881375607;34.60657552668953;0.5222420437800435;252.8521574768782
PAIN;5;optim_NM;33.10346884769035;32.45828117844865;33.74865651693205;0.5218072650259964;253.2242167279637
POMO;1;optim_NM;78.31876401858543;62.66007328820119;93.97745474896966;0.5315217014772446;24.404638996823827
POMO;2;optim_NM;72.59449507974105;52.960664478414145;92.22832568106796;0.5278413699776816;24.178976291673493
POMO;3;optim_NM;71.59705042971966;62.28417848728718;80.90992237215214;0.5363657259262856;21.079378215656604
POMO;4;optim_NM;74.01931465326035;66.60184761347163;81.43678169304907;0.43220346794204706;17.78673586450308
POMO;5;optim_NM;74.35509641480641;70.62007199426934;78.09012083534348;0.42867662491204755;17.826513150087386
CETE;1;optim_NM;178.70711317711056;153.71303823437756;203.70118811984355;0.972677987255199;260.1240313818907
CETE;2;optim_NM;225.74387896796034;120.82188219463544;330.6658757412853;0.9947783668336523;259.09965763598035
CETE;3;optim_NM;231.23486926340968;214.64401765746913;247.82572086935022;0.9724313612714341;249.74826840047942
CETE;4;optim_NM;232.9490805545363;212.71116464142747;253.18699646764512;0.9642078453612698;245.96234210438737
